Tarih;Anket þirketi;Örneklem;AKP;CHP;ÝYÝ;HDP;MHP;DEVA;GP;SP;ZP;YRP;BTP;TDP;MP;TÝP;Diðer;BBP;DP;Yýl;Ay;Ay_Yýl;Tarih1
13–21 Mar;Artýbir;1.500;31,1;27,9;12,2;11,6;5,7;2,6;1,2;1;0,3;1,3;0,9;;3,2;1;;;;2023;Mart;Mart 2023;1.03.2023
18-20 Mar;Yöneylem;2.400;35,1;28,1;9,3;9,8;6,9;0,5;;;0,9;1,6;;;3,6;3,3;1;;;2023;Mart;Mart 2023;1.03.2023
13-18 Mar;Optimar;1.916;38,4;25,9;7,8;9,5;7,7;0,3;0,3;0,3;0,3;1;;;6,2;0,7;0,4;0,9;;2023;Mart;Mart 2023;1.03.2023
12-17 Mar;Avrasya;2.560;29,1;31,9;10,5;10,2;7;2,1;0,8;0,9;1;1,5;;;1,6;1,6;1,3;;0,5;2023;Mart;Mart 2023;1.03.2023
11-15 Mar;Bulgu;1.800;32,7;26,8;12,5;10,2;7,1;0,9;0,2;0,9;0,4;0,7;0,2;;5,5;1,6;0,2;0,1;;2023;Mart;Mart 2023;1.03.2023
11-15 Mar;ORC;4.540;28,1;28,3;11,7;9,3;6,3;2;2,5;;1,5;1,2;1;1,3;2,3;1,5;1,4;1,6;;2023;Mart;Mart 2023;1.03.2023
8-15 Mar;MAK;5.750;34,2;26;13,6;9,3;6,3;2,1;1;0,9;1;1,3;1,2;0,1;1;;1,2;0,4;0,4;2023;Mart;Mart 2023;1.03.2023
Mart;Aksoy;1.537;31,8;27,8;11,4;10,3;6,9;0,6;0,6;0,8;;;;;;;9,7;;;2023;Mart;Mart 2023;1.03.2023
Mart;SAROS;10.826;36,7;26,5;10,5;12,3;6,1;1,3;0,5;0,6;;0,8;;;3;0,3;1,4;;;2023;Mart;Mart 2023;1.03.2023
Mart;GENAR;3.000;40,7;23,1;7;10,8;7,6;;;;;1,4;;;4,7;1,9;2,8;;;2023;Mart;Mart 2023;1.03.2023
Mart;Themis;1.459;27,5;30,8;9,7;9,7;3,6;2,4;1,1;1,1;8,5;2,2;;1,1;2,3;3,1;0,2;0,2;;2023;Mart;Mart 2023;1.03.2023
Mart;Piar;1.460;30,8;32,3;8,3;11,6;7,1;2,1;3,7;;;;1,8;;;;2,3;;;2023;Mart;Mart 2023;1.03.2023
7-10 Mar;ADA;3.121;40,2;24,2;7,2;9,6;7,1;0,6;;0,4;0,8;2;;;4,6;1,9;1,4;;;2023;Mart;Mart 2023;1.03.2023
6-9 Mar;ÝEA;2.000;35,4;27,4;10,3;10,2;5,9;0,7;;0,3;1,1;1,3;;;5,6;1,5;0,4;;;2023;Mart;Mart 2023;1.03.2023
8 Mar;Aksoy;1.537;31;28,4;12;10,3;7,2;1,4;0,9;1,4;;;;;;1,1;6,3;;;2023;Mart;Mart 2023;1.03.2023
6-7 Mar;ALF;1.770;31;31,8;8,9;11,3;6,5;1,5;1,3;;1,6;1,9;;;2,2;;2;;;2023;Mart;Mart 2023;1.03.2023
23-27 Þub;Areda Survey;3.000;38,5;22,8;10,4;10,5;10,1;0,9;0,4;0,6;1,4;1,6;;0,1;1,1;0,4;1,2;;;2023;Þubat;Þubat 2023;1.02.2023
22-27 Þub;ORC;4.720;29,1;23,5;19,5;8,1;5,4;2,3;2,5;;2;1;;1,8;1,3;;3,5;;;2023;Þubat;Þubat 2023;1.02.2023
23-26 Þub;Aksoy;1.537;32,1;27,3;13,6;12;6,8;0,9;0,7;0,8;;;;;;;5,8;;;2023;Þubat;Þubat 2023;1.02.2023
21-25 Þub;ALF;2.000;29,5;27,8;15,7;9,8;5,6;1,8;1,5;;2,5;1,6;;;2,2;;2;;;2023;Þubat;Þubat 2023;1.02.2023
19-23 Þub;Optimar;2.000;40;25,7;10,1;9,6;7,1;0,8;0,4;1,2;0,5;1,2;;;1,7;;1,7;;;2023;Þubat;Þubat 2023;1.02.2023
18-20 Þub;TEAM;1.930;37,5;24,5;11,6;11,1;6,6;;;;;;;;;;8,8;;;2023;Þubat;Þubat 2023;1.02.2023
16-20 Þub;ÝEA;2.000;33,7;25,8;13,9;11,2;6,8;1,3;0,7;;1,9;1,3;;;1,5;1,4;0,5;;;2023;Þubat;Þubat 2023;1.02.2023
27 Oca–2 Þub;Avrasya;2.460;32,1;31,5;12,8;9,9;5,1;3,5;;;1,4;1,2;;;;;2,5;;;2023;Þubat;Þubat 2023;1.02.2023
23-26 Oca;ORC;4.580;30,2;23,1;19,3;7,6;5,5;2,6;2,7;;1,8;;1,4;2,3;;;3,5;;;2023;Ocak;Ocak 2023;1.01.2023
18-24 Oca;ALF;2.000;31;26,1;15,8;8,6;6,1;2,4;2,7;;1,8;;;2,2;1,4;;1,9;;;2023;Ocak;Ocak 2023;1.01.2023
14-24 Oca;ASAL;2.520;39,2;23,8;12,3;10,1;7,5;;;;;;;;;;7,1;;;2023;Ocak;Ocak 2023;1.01.2023
13-16 Oca;ORC;3.920;31,5;25,5;19,3;8;6,5;2,3;2,8;;1,4;;;;;;2,7;;;2023;Ocak;Ocak 2023;1.01.2023
11-14 Oca;TEAM;2.524;37,5;26;11,7;11,1;6,5;;;;;;;;;;7,3;;;2023;Ocak;Ocak 2023;1.01.2023
6-13 Oca;Areda Survey;4.900;40,8;22,6;9,9;10,2;10,3;0,8;0,1;0,8;0,8;1,3;;;0,6;0,4;1,3;;;2023;Ocak;Ocak 2023;1.01.2023
7-9 Oca;Piar;2.611;31,2;25,1;14,3;11,2;6,3;1,1;3,8;;1,6;;1,9;;;;3,5;;;2023;Ocak;Ocak 2023;1.01.2023
3-8 Oca;Avrasya;2.612;29,5;31,1;13,8;11,2;5,6;3,5;;;1,7;1,2;;;;;2,4;;;2023;Ocak;Ocak 2023;1.01.2023
1-7 Oca;MAK;5.750;34,3;25;15,6;8,4;6,3;2,5;1,2;0,9;1;1,3;1,2;0,1;0,2;;2;;;2023;Ocak;Ocak 2023;1.01.2023
2-5 Oca;ORC;3.780;32;23,5;19,1;7,3;6,2;2,5;2,9;;;;1,8;2,2;;;2,5;;;2023;Ocak;Ocak 2023;1.01.2023
23 Ara–2 Oca;Sosyo Politik;1.582;33,2;28,5;13,3;13,1;6,5;2,9;0,7;0,8;0,4;;;;;0,6;;;;2023;Ocak;Ocak 2023;1.01.2023
27 Ara–1 Oca;Optimar;2.001;41,1;23,6;8,1;9,8;8;1,1;0,9;1;2,3;0,7;;0,5;1,2;;1,7;;;2023;Ocak;Ocak 2023;1.01.2023
Ocak;Aksoy;1.537;33,3;25,5;14,6;11,1;7,7;1,2;0,2;1,1;;;;;;;5,2;;;2023;Ocak;Ocak 2023;1.01.2023
25-28 Ara;TÜSÝAR;3.453;37,2;23,5;11,2;9,9;7,9;1,4;1,7;1,2;1,1;2;;;0,6;;2,3;;;2022;Aralýk;Aralýk 2022;1.12.2022
22-27 Ara;Yöneylem;2.400;32,1;25,5;13,5;9,7;8,1;1,5;;0,6;2,7;1,9;;;1;2;1,4;;;2022;Aralýk;Aralýk 2022;1.12.2022
20-25 Ara;Area;2.004;32,7;26,4;14;10;7;3,1;0,5;0,5;2,7;1,4;;;;;1,7;;;2022;Aralýk;Aralýk 2022;1.12.2022
20-25 Ara;ALF;2.750;30,5;27,3;14,4;9,1;7,1;2,3;3;;2;1;;2,1;;;1,2;;;2022;Aralýk;Aralýk 2022;1.12.2022
14-24 Ara;Artýbir;1.500;30,6;28,1;14,3;11,9;6,1;4,6;1,2;1,1;0,7;0,2;1;;0,2;;;;;2022;Aralýk;Aralýk 2022;1.12.2022
19-22 Ara;ORC;4.220;31,2;24,2;17,5;7,5;7,1;2,3;2,4;;1,7;1,2;1,4;2;;;1,5;;;2022;Aralýk;Aralýk 2022;1.12.2022
15-18 Ara;Piar;2.618;29,8;26,7;10,3;9,8;9,1;2,3;3,8;;3;;2;;;;3,2;;;2022;Aralýk;Aralýk 2022;1.12.2022
13-18 Ara;MetroPOLL;2.077;36,9;24,7;12,5;11,2;7,3;1;;0,8;2;1,3;;;;0,8;1,6;;;2022;Aralýk;Aralýk 2022;1.12.2022
10-18 Ara;ASAL;2.142;36,2;24,2;12,5;11,3;8,5;0,8;0,5;1,1;;1,3;;;;;3,6;;;2022;Aralýk;Aralýk 2022;1.12.2022
8-18 Ara;Themis;4.779;31,2;28,3;12,6;7,9;6,6;1,4;;;8,2;;;;1,9;;1,9;;;2022;Aralýk;Aralýk 2022;1.12.2022
5-14 Ara;Optimar;2.502;39,2;23,9;10,9;10,7;8,6;0,9;0,9;0,9;0,5;1;;;;;;;;2022;Aralýk;Aralýk 2022;1.12.2022
3 Kas–12 Ara;Global & Akademetre;1.000;39;27,1;11,3;10,5;9,8;0,2;0,2;0,9;;;0,1;0,1;0,1;;0,8;;;2022;Aralýk;Aralýk 2022;1.12.2022
3-6 Ara;ORC;3.670;30,8;24;17,1;7,3;7;2,3;2,8;;1,5;1,6;1,3;2,1;1;;1,2;;;2022;Aralýk;Aralýk 2022;1.12.2022
29 Kas–3 Ara;Avrasya;2.612;29,2;31,5;13,2;11,7;5,8;3,4;;;2;1,5;;;;;1,7;;;2022;Aralýk;Aralýk 2022;1.12.2022
Aralýk;SAROS;11.106;35,4;26,2;12;11,1;6,3;2,7;1,1;0,5;1,2;0,9;;;0,3;0,3;2,6;;;2022;Aralýk;Aralýk 2022;1.12.2022
Aralýk;HBS;55.000;30,9;25,2;20,8;10,4;6,3;;;;;;;;;;6,5;;;2022;Aralýk;Aralýk 2022;1.12.2022
Aralýk;TEAM;5.521;35,2;26,9;12,6;10,2;7,9;;;;;;;;;;7,2;;;2022;Aralýk;Aralýk 2022;1.12.2022
25-30 Kas;Areda Survey;2.000;39,4;23,7;11,3;10,7;9,6;0,8;0,1;0,6;1;1,2;;;0,6;0,3;0,7;;;2022;Kasým;Kasým 2022;1.11.2022
21-30 Kas;Artýbir;1.500;30,4;27,9;14,7;11,8;5,4;4,8;1,3;1,2;0,8;0,3;1,1;;0,3;;;;;2022;Kasým;Kasým 2022;1.11.2022
24-29 Kas;Aksoy;1.537;32,9;28,7;13,9;11;7,8;0,7;0,7;0,6;;;;;;;3,7;;;2022;Kasým;Kasým 2022;1.11.2022
23-27 Kas;Yöneylem;2.400;32,8;26,3;13,9;10,1;7,2;1,6;;0,8;2,3;1,7;;;0,7;1,4;1,1;;;2022;Kasým;Kasým 2022;1.11.2022
20-25 Kas;Area;2.005;34,4;25,8;14,6;11,6;7;3;1;1;1;;;;;;0,7;;;2022;Kasým;Kasým 2022;1.11.2022
15-24 Kas;ASAL;2.500;37,7;24,4;11,2;10,4;8,7;1,2;0,8;0,8;1;1,4;;;0,6;;1,8;;;2022;Kasým;Kasým 2022;1.11.2022
18-23 Kas;ORC;4.280;31,1;24,2;17,8;7,4;6,8;2,3;2,7;;;1,5;1,5;2;;;2,7;;;2022;Kasým;Kasým 2022;1.11.2022
15-20 Kas;MetroPOLL;2.122;36,5;24,7;11,2;12,7;8,2;;;1,2;;1,2;;;;;4,3;;;2022;Kasým;Kasým 2022;1.11.2022
14-17 Kas;ALF;2.150;29,4;28,1;13,3;8,3;6,7;2,4;2,2;;2,5;1;1,5;2,1;1,2;;1,3;;;2022;Kasým;Kasým 2022;1.11.2022
1-8 Kas;MAK;5.750;33,5;25,3;16,2;7,8;6,8;2,5;1,3;0,6;1,2;1,3;1,2;0,1;0,2;;2;;;2022;Kasým;Kasým 2022;1.11.2022
29 Eki–6 Kas;Avrasya;2.560;30;30,6;13,3;11,3;6,8;3,4;;;1,8;1,2;;;;;1,6;;;2022;Kasým;Kasým 2022;1.11.2022
1-4 Kas;ORC;3.420;30,4;24;17,6;7,2;6,5;2,5;2,6;;;1,1;1,9;2,1;1,2;;2,9;;;2022;Kasým;Kasým 2022;1.11.2022
Kasým;SAROS;11.028;33,1;25,9;11,5;11;6,3;3,3;1;0,8;1,8;1,2;0,6;;0,6;0,3;2,6;;;2022;Kasým;Kasým 2022;1.11.2022
Kasým;BETÝMAR;–;38,3;22,2;12,5;9,2;8,5;0,9;0,3;1,3;1,9;2;;;1;0,7;1,2;;;2022;Kasým;Kasým 2022;1.11.2022
24-28 Eki;Yöneylem;2.400;32,4;29,1;12,4;10,1;5,8;1,6;0,4;0,8;2,4;2;;;0,6;1,3;1,1;;;2022;Ekim;Ekim 2022;1.10.2022
19-26 Eki;ADA;3.029;40,2;22,6;10,4;10,7;8,6;1,1;;0,4;1,3;2,4;;;0,8;;1,5;;;2022;Ekim;Ekim 2022;1.10.2022
19-26 Eki;Area;2.376;33,2;24,8;16;10,3;8,7;2,1;1;1;1,4;1;;;;;0,5;;;2022;Ekim;Ekim 2022;1.10.2022
20-24 Eki;ALF;4.100;28,2;28,4;14,5;9,1;6,2;2;2,1;;2,3;1;1,7;1,8;1,7;;2;;;2022;Ekim;Ekim 2022;1.10.2022
15-18 Eki;MetroPOLL;2.145;36,3;23,2;12,4;11,9;10;1,4;;1,3;0,7;;;;;;2,8;;;2022;Ekim;Ekim 2022;1.10.2022
10-18 Eki;Artýbir;1.500;30,2;27,9;14,8;10,8;6,9;4,2;1,7;1,2;1,2;0,6;;;0,5;;1,2;;;2022;Ekim;Ekim 2022;1.10.2022
5-15 Eki;MAK;5.750;32,7;26;15,8;7,7;7,2;2,1;1,3;0,9;1,6;1,1;1,2;0,2;0,2;;2;;;2022;Ekim;Ekim 2022;1.10.2022
5-14 Eki;ASAL;2.312;38,4;23,5;11;10,7;9,1;1,4;0,9;0,9;1,5;1,1;;;0,7;;0,8;;;2022;Ekim;Ekim 2022;1.10.2022
10-13 Eki;Piar;2.524;28,6;28,1;11,7;9,8;8,6;1,5;2,9;0,9;2,7;1,6;1,9;;;0,9;2,7;;;2022;Ekim;Ekim 2022;1.10.2022
7-10 Eki;ORC;3.680;30,2;24,5;18,7;7,3;6,3;2,4;3,5;;;;1,8;1,5;;;3,8;;;2022;Ekim;Ekim 2022;1.10.2022
1-3 Eki;TÜSÝAR;5.542;36,3;24,1;11,1;10,1;7,1;2,2;1,7;1,1;1,2;1,9;;;1;0,9;1,3;;;2022;Ekim;Ekim 2022;1.10.2022
1-3 Eki;ALF;2.560;28,6;29,1;14,1;8,3;6;2,2;2;1;2,5;;1,8;;1,4;;4,8;;;2022;Ekim;Ekim 2022;1.10.2022
Ekim;Aksoy;1.537;31,7;28,1;13,3;11,2;7,8;1,4;0,3;1,3;;;;;;;4,9;;;2022;Ekim;Ekim 2022;1.10.2022
26-29 Eyl;Areda Survey;2.000;38;25;10,2;10,5;10,1;1,2;;0,8;;;;;;;;;;2022;Eylül;Eylül 2022;1.09.2022
26-30 Eyl;Yöneylem;2.400;31,1;28,4;13,5;9,2;7,1;2,4;0,3;0,6;2,1;1,8;;;0,7;1,1;;;;2022;Eylül;Eylül 2022;1.09.2022
22-26 Eyl;Optimar;2.231;37,8;25,9;9,8;11;9,5;1;0,5;0,6;1;1,2;;0,6;0,5;;0,6;;;2022;Eylül;Eylül 2022;1.09.2022
17-21 Eyl;ORC;6.190;30,6;24,8;19,4;7,1;6;2;2,6;;;;1,7;1,8;;;5,7;;;2022;Eylül;Eylül 2022;1.09.2022
17-20 Eyl;MetroPOLL;2.119;33,6;24,8;12,2;13,9;9,1;1,4;;0,8;1;1,4;;;;;1,7;;;2022;Eylül;Eylül 2022;1.09.2022
15-20 Eyl;Area;3.123;30;27,1;15;10,7;8,7;3,1;0,7;1;1,5;1,1;;;;;1,1;;;2022;Eylül;Eylül 2022;1.09.2022
15-18 Eyl;Piar;2.608;29,1;28,1;11,2;10,6;8,6;1,9;1,1;0,9;3,5;1,4;1,8;;;0,8;2,8;;;2022;Eylül;Eylül 2022;1.09.2022
5-14 Eyl;Artýbir;1.500;28,6;28,7;15,1;12,3;5,8;4,7;1,9;1,4;0,8;0,4;;;0,3;;;;;2022;Eylül;Eylül 2022;1.09.2022
7-9 Eyl;ALF;3.920;27,2;28;16,9;8;6,2;2,5;1,3;1,1;2,3;;1,7;2;1,4;;3,4;;;2022;Eylül;Eylül 2022;1.09.2022
25 Aðu–1 Eyl;Yöneylem;2.403;29,5;29,7;13,5;9,4;6,4;1,7;0,3;0,8;3,4;2;;;;1,6;1,7;;;2022;Eylül;Eylül 2022;1.09.2022
Eylül;SAROS;2.025;32,4;26,2;12,5;13,1;7,4;3;0,8;0,7;1,9;1;;;0,5;;0,5;;;2022;Eylül;Eylül 2022;1.09.2022
Eylül;Aksoy;1.067;29,7;29,1;14,1;10,1;7,6;2,1;1;1,1;;;;;;;5,1;;;2022;Eylül;Eylül 2022;1.09.2022
15-31 Aðu;Bulgu;1.800;31,6;30;13,1;10,3;6,1;2;0,5;0,9;2,2;2,2;;;0,8;;0,3;;;2022;Aðustos;Aðustos 2022;1.08.2022
24-30 Aðu;Area;2.000;30,6;28,2;14,6;10,1;7,5;3,5;0,7;1;1,8;1,5;;;;;0,5;;;2022;Aðustos;Aðustos 2022;1.08.2022
22-28 Aðu;Avrasya;2.000;30,1;32,1;12,1;8;7;4,1;0,4;0,8;3,1;1,5;;;0,4;;0,4;;;2022;Aðustos;Aðustos 2022;1.08.2022
25-27 Aðu;ALF;4.400;27;28,3;18,7;8,2;6,7;2,3;1,1;1;1,7;;;2,1;1,2;;1,7;;;2022;Aðustos;Aðustos 2022;1.08.2022
23-27 Aðu;Areda Survey;2.000;36,6;24,4;11;11,1;10,4;1,3;;0,8;1,4;1,6;;;0,4;;0,9;;;2022;Aðustos;Aðustos 2022;1.08.2022
18-22 Aðu;ORC;5.310;27,3;25,1;21,1;7,2;6,1;2,1;2,2;1,4;;;1,8;1,9;;;3,8;;;2022;Aðustos;Aðustos 2022;1.08.2022
13-17 Aðu;MetroPOLL;1.717;32,8;23,4;13,9;13;6,9;3,3;;1,6;2,7;1;;;;;1,3;;;2022;Aðustos;Aðustos 2022;1.08.2022
12-15 Aðu;Optimar;2.000;37,2;26;10;9,9;9,5;1;0,6;0,7;1,5;1,5;;;;;;;;2022;Aðustos;Aðustos 2022;1.08.2022
9-15 Aðu;ASAL;2.500;35,5;25,7;11,6;10,1;8,9;1,6;0,8;0,9;1,3;1,1;;0,9;0,8;;0,8;;;2022;Aðustos;Aðustos 2022;1.08.2022
30 Tem–8 Aðu;Avrasya;2.410;28,5;29,9;13,3;10,5;7,1;5,1;1,2;1,2;1,3;;;;;;1,9;;;2022;Aðustos;Aðustos 2022;1.08.2022
1-5 Aðu;Piar;2.604;28,1;28,5;12,9;11,2;7,8;3;3,5;;;;1,8;;;;3,2;;;2022;Aðustos;Aðustos 2022;1.08.2022
28 Tem–1 Aðu;Yöneylem;2.400;29,6;29,4;14,9;9,1;6;2,2;0,6;0,6;2,5;2,3;;;;1;1,8;;;2022;Aðustos;Aðustos 2022;1.08.2022
Aðustos;ADA;5.002;37,3;24,5;10,3;10,2;7,7;1,6;0,8;1,2;2;1,2;;;1,1;;2,1;;;2022;Aðustos;Aðustos 2022;1.08.2022
Aðustos;Aksoy;1.067;29,8;29;13,7;10;7,6;;;;;;;;;;10;;;2022;Aðustos;Aðustos 2022;1.08.2022
Aðustos;ALF;7.450;27,7;28,1;19;8,7;7,1;2,1;1,4;0,9;1,6;0,8;;;1,1;;1,5;;;2022;Aðustos;Aðustos 2022;1.08.2022
25-31 Tem;Aksoy;1.067;29,7;28,8;14;10;7,8;2,5;1,3;0,9;;;;;;;5,2;;;2022;Temmuz;Temmuz 2022;1.07.2022
26-30 Tem;Areda Survey;2.000;35,6;24,3;13,5;10,6;10,3;;;;;;;;;;;;;2022;Temmuz;Temmuz 2022;1.07.2022
23-27 Tem;Area;2.000;30,3;27,1;15,1;10,8;7,6;3;0,5;1;2,1;1,4;;;;;1,1;;;2022;Temmuz;Temmuz 2022;1.07.2022
11-16 Tem;MetroPOLL;2.091;33,8;25;14,5;11,2;6;2,8;;1,7;2;1,1;;;;;1,9;;;2022;Temmuz;Temmuz 2022;1.07.2022
11-14 Tem;Optimar;3.481;36,7;26,3;11,1;10,1;9,5;;;;;;;;;;6,3;;;2022;Temmuz;Temmuz 2022;1.07.2022
1-9 Tem;Themis;2.967;35,3;25,4;13,1;10,3;4,1;0,9;0,5;0,5;7,2;;;;1,6;;0,9;;;2022;Temmuz;Temmuz 2022;1.07.2022
3-8 Tem;ASAL;2.425;34;26;11,9;10,8;8,9;1,8;0,8;0,8;1,3;1,2;;;;;2,5;;;2022;Temmuz;Temmuz 2022;1.07.2022
1-4 Tem;ORC;9.330;27,1;24;22,1;7,6;7;2,2;2;1,3;;;1,7;1,8;;;3,2;;;2022;Temmuz;Temmuz 2022;1.07.2022
1-2 Tem;Piar;11.406;27,8;29,6;11;11,2;7,3;3,8;3;;;;2,3;;;;4;;;2022;Temmuz;Temmuz 2022;1.07.2022
25 Haz–1 Tem;Avrasya;1.460;28,4;29,9;13,4;10,7;6,1;5,3;1,2;1,5;1,3;;;;;;2,2;;;2022;Temmuz;Temmuz 2022;1.07.2022
Temmuz;SAROS;1.672;32,5;25,9;14,1;12,8;7,7;2,1;0,6;0,7;0,9;1,3;;;0,5;;0,8;;;2022;Temmuz;Temmuz 2022;1.07.2022
Temmuz;ALF;3.400;28,4;27,2;16,4;8,5;6,6;2,3;2;1,7;1,3;0,9;1,6;1,9;;;1,2;;;2022;Temmuz;Temmuz 2022;1.07.2022
26-30 Haz;Areda Survey;2.000;36,3;24,2;12,5;10,6;10,2;0,9;0,1;0,4;2,8;1;;0,1;0,3;;0,5;;;2022;Haziran;Haziran 2022;1.06.2022
24-28 Haz;Yöneylem;2.704;27,1;27,7;16;10,4;8,2;2;0,4;0,9;2,8;2,1;;;;1;1,4;;;2022;Haziran;Haziran 2022;1.06.2022
23-28 Haz;Optimar;1.613;36;26;10,3;10;10;1,6;0,4;0,8;1,9;0,9;;1;0,6;;0,6;;;2022;Haziran;Haziran 2022;1.06.2022
13-24 Haz;SONAR;3.100;32,3;23,1;19;7,5;7,1;1,7;;;1,3;1,1;;1,2;1,4;;4,3;;;2022;Haziran;Haziran 2022;1.06.2022
10-21 Haz;Objektif;9.960;29,1;30,2;14,2;9,6;6,1;3,6;1,7;1,6;1,6;;;;;;2,3;;;2022;Haziran;Haziran 2022;1.06.2022
11-15 Haz;MetroPOLL;2.123;33,3;23,6;16,8;11,8;5,4;1,9;0,8;1,7;2;0,7;;;0,9;;1,1;;;2022;Haziran;Haziran 2022;1.06.2022
7-14 Haz;ASAL;3.000;32,5;26,5;12,8;11;8,1;2,3;1,2;1,1;;1,4;;;;;3,1;;;2022;Haziran;Haziran 2022;1.06.2022
1-12 Haz;Sosyo Politik;1.563;30;28,7;15,7;13,8;4,8;4,5;1,4;1,1;;;1,6;;;;;;;2022;Haziran;Haziran 2022;1.06.2022
5-8 Haz;ALF;4.100;27,2;25,1;19,4;8,3;6,8;2,4;2;1,7;;1,3;;;;;5,8;;;2022;Haziran;Haziran 2022;1.06.2022
3-7 Haz;Piar;2.610;30,4;24,8;15,5;11,2;7,8;3,1;;;2,4;;1,4;;;;3,4;;;2022;Haziran;Haziran 2022;1.06.2022
1-5 Haz;ORC;4.620;27,7;23,8;20,6;7,5;7,1;1,9;2,1;1,7;;0,8;1,6;1,7;1,1;;2,4;;;2022;Haziran;Haziran 2022;1.06.2022
2-4 Haz;Yöneylem;2.700;29,8;29,5;13,2;10,3;6,9;2,3;0,2;1;1,8;2,3;;;;0,8;1,9;;;2022;Haziran;Haziran 2022;1.06.2022
Haziran;MAK;5.750;27,8;25,7;18,4;7,8;6,3;2,9;2,9;0,9;2;1,1;;;0,2;;4;;;2022;Haziran;Haziran 2022;1.06.2022
Haziran;Artýbir;1.500;29,1;28,2;14,9;12,4;5,9;4,6;2,1;1,6;0,5;0,4;;;0,3;;;;;2022;Haziran;Haziran 2022;1.06.2022
Haziran;Polimetre;–;29;23,8;11,4;11,6;8,6;6,9;4;1,6;;;;;;;2,4;;;2022;Haziran;Haziran 2022;1.06.2022
Haziran;Aksoy;1.067;29,4;28,9;13,7;10,2;8;2,6;0,6;1,3;;;;;;;5,4;;;2022;Haziran;Haziran 2022;1.06.2022
26 May–1 Haz;Avrasya;1.500;29,5;30,7;13;9,2;5,4;4,8;1,8;1,1;1,6;1,1;;;;;1,8;;;2022;Haziran;Haziran 2022;1.06.2022
15-31 May;Bulgu;1.800;29,3;27,9;15,3;10;6,8;2;0,6;0,1;4,1;1,9;;;;;2;;;2022;Mayýs;Mayýs 2022;1.05.2022
25-30 May;Areda Survey;2.000;36,6;24;12,8;10,2;10,1;1;0,2;0,6;2,3;0,8;;;0,8;;0,7;;;2022;Mayýs;Mayýs 2022;1.05.2022
28-29 May;Gezici;–;35,4;26,7;11,2;11,2;8,8;2,1;1,2;;;1,3;;;;;2,1;;;2022;Mayýs;Mayýs 2022;1.05.2022
23-27 May;Area;2.282;29,3;28;16,3;11,1;8;3,4;1;1;1,2;;;;;;0,7;;;2022;Mayýs;Mayýs 2022;1.05.2022
16-23 May;Artýbir;1.500;29,4;27,3;14,6;12,3;6,3;4,8;2,4;1,7;0,4;0,5;;;0,3;;;;;2022;Mayýs;Mayýs 2022;1.05.2022
13-20 May;MetroPOLL;2.045;32,7;22,6;15,1;13,8;8;1,3;;1,6;1,8;1;;;0,8;0,6;0,7;;;2022;Mayýs;Mayýs 2022;1.05.2022
9-18 May;Remres;4.806;30;27,2;19,2;10;5,6;1,3;0,8;;4,7;;;;;;;;;2022;Mayýs;Mayýs 2022;1.05.2022
13-17 May;ALF;3.550;28,5;24,3;19;8,1;7,1;2,3;2,1;1,6;;1,2;1,5;1,8;1;;1,5;;;2022;Mayýs;Mayýs 2022;1.05.2022
14-15 May;KONDA;3.260;28,7;24,7;21,7;12,2;7,5;;;;;;;;;;5,2;;;2022;Mayýs;Mayýs 2022;1.05.2022
12-15 May;Optimar;2.519;35,9;26,2;10,7;10,1;10,4;1,1;0,4;0,8;1,1;0,9;;;0,5;;1,8;;;2022;Mayýs;Mayýs 2022;1.05.2022
5-14 May;MAK;5.750;28,3;27,1;16,1;7,8;6,6;3,1;2,8;1,1;1,8;0,9;1,4;0,2;0,4;1,8;0,6;;;2022;Mayýs;Mayýs 2022;1.05.2022
6-12 May;SONAR;2.840;32,5;24,4;15;8,6;7,2;2;;;;1,6;;;1,6;;7,1;;;2022;Mayýs;Mayýs 2022;1.05.2022
5-9 May;Piar;2.584;34,3;23,3;10,9;11,8;8,2;1,8;;1,2;3;;1,4;;;1,1;3;;;2022;Mayýs;Mayýs 2022;1.05.2022
5-8 May;ORC;5.300;28;24,1;18,4;8,7;7,2;2;2,1;1,6;;1,4;1,3;1,6;1,1;;2,5;;;2022;Mayýs;Mayýs 2022;1.05.2022
5-8 May;ASAL;2.400;35,1;25,8;12,3;10,4;9;1,8;0,7;1;;;;;;;3,9;;;2022;Mayýs;Mayýs 2022;1.05.2022
Mayýs;Aksoy;1.067;30,1;28,8;13,2;9,7;8,3;2,2;0,7;1,4;;;;;;;5,6;;;2022;Mayýs;Mayýs 2022;1.05.2022
Mayýs;SAROS;2.987;31,9;26,8;12,2;12,8;7,7;2,8;1,4;0,7;;1,4;;;;;2,3;;;2022;Mayýs;Mayýs 2022;1.05.2022
Mayýs;Yöneylem;2.400;31,2;29,4;12,3;10,3;7,4;1,9;;1;2,4;;;;;1;3,1;;;2022;Mayýs;Mayýs 2022;1.05.2022
Nisan;ALF;4.750;29,2;25;16,1;9,1;7,4;2,1;2;1,7;0,7;;1,1;1,5;1,1;;3;;;2022;Nisan;Nisan 2022;1.04.2022
26-28 Nis;Areda Survey;2.000;36,9;25,1;11,8;9,4;10,1;0,9;0,2;1;1,1;1,3;;0,4;0,7;;1,1;;;2022;Nisan;Nisan 2022;1.04.2022
